,DY,EBITG,EV2EBITDA,M2B,MOMENTUM,PB,PE,PF,PS,RETURN,days,surprise
96060,7.0856,-14.412,5.1266,3.2282,-0.045906,2.5682,5.7477,4.964,1.3252,0.014879,1,1.4
96061,7.0856,-14.412,5.1266,3.2282,-0.041671,2.5682,5.7477,4.964,1.3252,-0.0051502,2,1.4
96062,6.997,-14.412,5.1912,3.269,-0.047116,2.6007,5.8205,5.0268,1.342,-0.0051502,3,1.4
96063,6.9556,-14.412,5.222,3.2885,-0.042357,2.6163,5.8552,5.0568,1.35,0.0074411,4,1.4
96064,6.9146,-14.412,5.2528,3.308,-0.056319,2.6318,5.8899,5.0868,1.358,0.013447,5,1.4
96065,6.934,-14.412,5.2381,3.2987,-0.078882,2.6244,5.8733,5.0725,1.3542,0.019457,6,1.4
96066,8.235,-15.935,9.1612,9.5665,-0.21654,7.1325,9.2128,14.174,2.1805,-0.014218,1,-0.9
96067,8.333,-15.935,9.0713,9.4539,-0.21816,7.0485,9.1044,14.007,2.1548,-0.019576,2,-0.9
96068,8.3083,-15.935,9.0938,9.4821,-0.20806,7.0695,9.1315,14.049,2.1613,-0.031117,3,-0.9
96069,8.2732,-15.935,9.1259,9.5223,-0.20842,7.0995,9.1702,14.108,2.1704,-0.02823,4,-0.9
96070,8.1459,-15.935,9.2447,9.6711,-0.2177,7.2104,9.3135,14.329,2.2043,-0.024111,5,-0.9
96071,8.1629,-15.935,9.2286,9.651,-0.24375,7.1954,9.2941,14.299,2.1997,-0.0088645,6,-0.9
96096,3.551,-5.3544,11.289,2.8491,-0.067817,2.3518,13.492,14.347,1.8943,-0.029193,1,2.6
96097,3.6112,-5.3544,11.129,2.8016,-0.07007,2.3126,13.267,14.108,1.8627,-0.028891,2,2.6
96098,3.6232,-5.3544,11.097,2.7923,-0.047549,2.3049,13.223,14.061,1.8565,-0.045076,3,2.6
96099,3.6307,-5.3544,11.078,2.7865,-0.03034,2.3002,13.196,14.032,1.8526,-0.048253,4,2.6
96100,3.6244,-5.3544,11.094,2.7914,-0.032196,2.3042,13.219,14.056,1.8559,-0.050219,5,2.6
96101,3.5839,-5.3544,11.201,2.8229,-0.053164,2.3302,13.368,14.215,1.8768,-0.048555,6,2.6
96132,5.1537,-33.12,10.724,4.3126,0.15915,2.0248,5.7567,6.5787,1.0513,-0.037723,1,0.7
96133,5.1653,-33.12,10.701,4.3028,0.15597,2.0202,5.7437,6.5638,1.0489,-0.045188,2,0.7
96134,5.1473,-33.12,10.736,4.3179,0.16402,2.0273,5.7638,6.5868,1.0526,-0.047348,3,0.7
96135,5.1643,-33.12,10.703,4.3037,0.17219,2.0206,5.7449,6.5651,1.0491,-0.044008,4,0.7
96136,5.1771,-33.12,10.678,4.293,0.15634,2.0156,5.7306,6.5489,1.0465,-0.047152,5,0.7
96137,5.1621,-33.12,10.707,4.3055,0.13603,2.0214,5.7472,6.5678,1.0496,-0.049512,6,0.7
96144,1.2788,-173.86,37.698,1.542,-0.09132,1.4467,117.43,7.2008,0.9208,-0.032478,1,-53.8
96145,1.2902,-173.86,37.404,1.5284,-0.068784,1.434,116.4,7.1374,0.9127,-0.055892,2,-53.8
96146,1.2891,-173.86,37.431,1.5297,-0.050953,1.4352,116.49,7.1432,0.9134,-0.064199,3,-53.8
