,DY,EBITG,EV2EBITDA,M2B,MOMENTUM,PB,PE,PF,PS,RETURN,days
95401,3.0883,-5.1303,8.0783,1.6421,-0.12324,1.3294,12.890999999999998,6.0381,1.0692,-0.009143700000000001,2
95402,3.0435,-5.1303,8.1993,1.6663,-0.12675,1.349,13.081,6.127000000000001,1.0849,-0.020594,3
95403,3.0083,-5.1303,8.2968,1.6857,-0.15028,1.3648,13.234000000000002,6.1987,1.0976,-0.009143700000000001,4
95404,3.0435,-5.1303,8.1993,1.6663,-0.13510999999999998,1.349,13.081,6.127000000000001,1.0849,-0.012853,5
95405,3.0321,-5.1303,8.2307,1.6725,-0.12449,1.3541,13.13,6.1501,1.089,-0.010734,6
95424,0.9958,19.804000000000002,9.0678,3.4363,-0.15655,3.1716,17.564,230.55,1.8264,0.0033274999999999997,1
95425,0.9991,19.804000000000002,9.0391,3.4249,-0.1358,3.1611,17.506,229.79,1.8203,-0.0012735,2
95426,0.9945,19.804000000000002,9.0788,3.4407,-0.15915,3.1756,17.587,230.85,1.8287,-0.021228,3
95427,0.9746,19.804000000000002,9.255,3.5108,-0.14612999999999998,3.2404,17.945,235.55,1.8659999999999999,-0.020005000000000002,4
95428,0.9759,19.804000000000002,9.244,3.5064,-0.16221,3.2363,17.923,235.26,1.8637,-0.0010196,5
95429,0.9948,19.804000000000002,9.0766,3.4398,-0.17707,3.1748,17.582,230.79,1.8282,-0.01755,6
95442,3.6765,-11.414000000000001,10.1,5.4153,-0.17645,4.4257,13.173,15.573,2.721,-0.0019969000000000002,1
95443,3.6691,-11.414000000000001,10.118,5.4261,-0.16510999999999998,4.4346,13.2,15.604000000000001,2.7264,-0.004518100000000001,2
95444,3.6599,-11.414000000000001,10.141,5.4398,-0.18562,4.4458,13.232999999999999,15.642999999999999,2.7333,0.004411600000000001,3
95445,3.6927,-11.414000000000001,10.06,5.3915,-0.17682,4.4063,13.115,15.504000000000001,2.7089999999999996,0.012818000000000001,4
95446,3.7236,-11.414000000000001,9.9852,5.3467,-0.19018,4.3697,13.007,15.376,2.6865,0.032206,5
95447,3.7948,-11.414000000000001,9.8173,5.2464,-0.18567999999999998,4.2877,12.762,15.087,2.6361,0.019149,6
95454,1.6698,2.5455,8.1259,2.9139,-0.27137,2.5023,14.13,15.8,2.1066,-0.0014751,1
95455,1.6674,2.5455,8.1352,2.9182,-0.28402,2.506,14.15,15.824000000000002,2.1097,-0.0098094,2
95456,1.6535,2.5455,8.1883,2.9427,-0.29063,2.5271,14.27,15.957,2.1275,-0.018858,3
95457,1.6383,2.5455,8.247,2.9699,-0.28117,2.5504,14.401,16.104,2.1471,-0.022681,4
95458,1.632,2.5455,8.2722,2.9815,-0.31992,2.5604,14.457,16.167,2.1555,-0.023530000000000002,5
95459,1.6305,2.5455,8.2778,2.9841,-0.34302,2.5626,14.47,16.180999999999997,2.1574,-0.015425999999999999,6
95472,1.7066,-9.939,11.699000000000002,3.4118,-0.079738,3.1116,14.152999999999999,6.2275,1.6719,0.016125,1
