"","output","output.1","output.2","output.3","output.4","output.5","output.6","output.7","output.8","output.9","output.10","output.11"
"145",11,0.0909090909090909,0,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.181818181818182,0.181818181818182,0,0.181818181818182,0.0909090909090909,1487894400
"146",10,0,0,0,0,0.1,0,0,0.1,0,0.2,1487894400
"147",10,0,0,0,0.1,0,0,0,0,0,0,1487894400
"148",9,0.111111111111111,0.111111111111111,0,0,0,0,0,0.111111111111111,0.111111111111111,0.222222222222222,1487894400
"149",10,0,0,0,0,0,0,0,0,0,0.1,1487894400
"150",15,0,0,0,0,0,0,0,0.0666666666666667,0,0.0666666666666667,1487894400
"151",13,0.0769230769230769,0.0769230769230769,0,0.0769230769230769,0.0769230769230769,0,0,0.0769230769230769,0,0.0769230769230769,1487894400
"152",4,0,0,0,0,0,0,0,0,0,0,1487808000
"153",7,0,0.142857142857143,0,0,0.142857142857143,0,0,0.142857142857143,0,0.142857142857143,1487808000
"154",15,0,0.0666666666666667,0,0.0666666666666667,0,0,0.0666666666666667,0.0666666666666667,0.0666666666666667,0.0666666666666667,1487808000
"155",13,0,0,0,0,0,0,0,0,0,0,1487808000
"156",12,0.0833333333333333,0,0,0,0.0833333333333333,0.0833333333333333,0.0833333333333333,0,0.0833333333333333,0.0833333333333333,1487808000
"157",13,0,0,0,0,0,0,0.0769230769230769,0,0.0769230769230769,0,1487808000
"158",7,0,0,0,0.142857142857143,0,0.142857142857143,0.142857142857143,0,0.142857142857143,0,1487808000
"159",12,0,0,0,0,0,0,0,0.0833333333333333,0,0.0833333333333333,1487808000
"160",6,0,0,0,0,0,0.166666666666667,0,0,0.166666666666667,0,1487808000
"161",13,0,0,0,0,0,0.0769230769230769,0,0,0.0769230769230769,0,1487808000
"162",14,0,0.0714285714285714,0,0,0,0,0,0,0.0714285714285714,0.0714285714285714,1487808000
"163",6,0,0,0,0,0.166666666666667,0,0.166666666666667,0,0,0.166666666666667,1487808000
"164",8,0,0.125,0,0,0,0,0,0.125,0.125,0,1487808000
"165",12,0.0833333333333333,0,0,0,0,0,0,0,0.0833333333333333,0,1487808000
"166",7,0,0,0,0,0,0,0,0,0,0,1487808000
"167",10,0.1,0.1,0,0.1,0.1,0,0,0.1,0,0.1,1487808000
