"","date","ticker","word_count","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","dy","ev2ebitda","m2b","pb","pe","pf","ps","mom","days","est_earning","surprise.1","ret_yesterday","y.return01"
"83","2017-01-20","FCX",88,0,2,0,0,0,0,0,2,2,1,0,NA,3.691,3.7038,11.2098,23.8731,1.355,0.71116,-5,0.35,-28.6,0.00131233595800517,1
"84","2017-01-21","FCX",26,1,1,0,1,1,1,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,0.74016,-4,0.35,-28.6,0.0163826998689385,1
"85","2017-01-22","FCX",12,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0.73329,-3,0.35,-28.6,0.0163826998689385,1
"86","2017-01-23","FCX",135,4,6,1,3,1,1,2,3,7,8,0,NA,3.741,3.754,11.3615,24.1964,1.3733,0.72083,-2,0.35,-28.6,0.0163826998689385,1
"87","2017-01-24","FCX",172,3,4,0,4,6,0,1,7,5,16,0,NA,4.0504,4.0644,12.3011,26.1974,1.4869,0.74936,-1,0.35,-28.6,0.0135396518375241,1
"88","2017-01-25","FCX",510,3,12,0,7,4,11,2,10,16,20,0,NA,3.9266,3.9403,11.9253,25.397,1.4415,0.76851,0,0.35,-28.6,0.0826972010178115,0
"89","2017-01-26","FCX",273,1,7,0,2,6,2,2,5,7,10,0,NA,3.7696,3.7826,11.4483,24.3811,1.3838,0.74545,1,0.35,-28.6,-0.0305522914218567,0
"90","2017-01-27","FCX",123,2,6,0,1,3,1,1,6,4,5,0,NA,3.8957,3.9092,11.8313,25.1969,1.4301,0.70644,2,0.35,-28.6,-0.04,1
"91","2017-01-30","FCX",74,0,0,0,0,1,0,0,0,1,1,0,NA,3.8671,3.8806,11.7446,25.0122,1.4196,0.71532,5,0.35,-28.6,0.033459595959596,0
"92","2017-01-31","FCX",37,0,1,0,0,1,0,1,2,0,1,0,NA,3.9623,3.9761,12.0337,25.6278,1.4546,0.74169,6,0.35,-28.6,-0.00733048259010394,0
"93","2017-02-03","ARRY",89,0,5,0,0,0,0,0,6,0,11,0,NA,34.8415,34.9204,NA,NA,9.4642,0.71941,-6,-0.18,22.2,-0.0277280858676208,0
"94","2017-02-08","ARRY",45,2,1,0,2,1,0,1,1,0,5,0,NA,34.6472,34.7256,NA,NA,9.4114,0.75119,-1,-0.18,22.2,-0.031278748850046,1
"95","2017-02-09","ARRY",274,5,2,1,5,2,5,0,2,7,27,0,NA,40.781,40.7621,NA,NA,11.0474,0.76636,0,-0.18,22.2,0.0161443494776827,1
"96","2017-02-10","ARRY",78,1,2,1,2,0,2,0,2,3,8,0,NA,38.9302,38.9122,NA,NA,10.546,0.80096,1,-0.18,22.2,0.173831775700935,0
"97","2017-02-14","ARRY",16,0,0,0,1,0,1,0,0,1,0,0,NA,38.9627,38.9446,NA,NA,10.5548,0.75816,5,-0.18,22.2,-0.0628980891719746,1
"98","2017-02-15","ARRY",35,0,0,1,0,0,0,0,0,3,1,0,NA,38.8004,38.7824,NA,NA,10.5108,0.75224,6,-0.18,22.2,0.0195412064570943,0
"99","2017-02-23","AROC",13,0,0,0,0,0,0,0,0,0,0,3.5791,12.2389,1.3638,1.3637,34.6061,6.1318,1.1886,0.76503,0,-0.03,-100,0,0
"100","2017-01-20","SXC",66,1,3,1,1,3,4,0,4,5,8,0,8.1134,2.126,2.1265,1592.7014,4.2545,0.5403,0.77034,-6,0.3,-22.4,0.0920000000000001,0
"101","2017-01-23","SXC",56,0,2,0,0,1,2,0,3,3,6,0,8.153,2.1529,2.1534,1612.8035,4.3082,0.5472,0.77573,-3,0.3,-22.4,-0.0567765567765567,1
"102","2017-01-24","SXC",11,0,1,0,0,1,1,0,2,1,3,0,8.22,2.1983,2.1988,1646.8223,4.3991,0.5587,0.77469,-2,0.3,-22.4,0.0126213592233009,1
"103","2017-01-26","SXC",123,0,1,0,0,0,0,0,0,0,2,0,7.9916,2.0435,2.044,1530.8489,4.0893,0.5194,0.76128,0,0.3,-22.4,0.0201342281879195,0
"104","2017-02-01","SXC",13,2,1,1,1,1,1,1,1,1,1,0,7.69,1.8391,1.8396,1377.764,3.6804,0.4674,0.63525,6,0.3,-22.4,-0.171052631578947,1
"105","2017-02-16","SN",18,0,0,0,0,0,0,0,0,0,0,0,23.3177,-0.971,NA,NA,NA,NA,0.78376,-6,0.116,14.6,0.0520570948782535,0
"106","2017-02-21","SN",30,0,2,0,0,2,0,0,4,0,2,0,23.1052,-0.9482,NA,NA,NA,NA,0.75859,-1,0.116,14.6,-0.0710295291300876,0
"107","2017-02-22","SN",92,0,1,0,0,0,0,0,0,0,2,0,22.6497,-0.8993,NA,NA,NA,NA,0.74635,0,0.116,14.6,-0.000859106529209619,0
"108","2017-02-23","SN",48,1,1,1,1,1,0,0,2,1,6,0,22.8395,-0.9197,NA,NA,NA,NA,0.74887,1,0.116,14.6,-0.0515907136715392,1
"109","2017-02-24","SN",21,1,0,0,1,0,0,0,0,0,2,0,22.8623,-0.9221,NA,NA,NA,NA,0.76241,2,0.116,14.6,0.0226654578422485,1
"110","2017-02-26","SN",15,0,1,0,0,1,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,0.71769,4,0.116,14.6,0.00265957446808529,1
"111","2017-02-27","SN",30,0,1,0,0,2,0,1,3,0,4,0,23.2053,-0.959,NA,NA,NA,NA,0.69043,5,0.116,14.6,0.00265957446808529,0
"112","2016-10-20","CDE",12,1,1,0,1,1,0,0,1,0,2,NA,NA,2.9041,2.9971,NA,NA,2.5752,0.71218,-6,0.097,137.1,0.253012048192771,0
"113","2016-10-21","CDE",12,0,0,0,0,0,0,0,0,0,1,NA,NA,2.8681,2.96,NA,NA,2.5433,0.73399,-5,0.097,137.1,-0.0113636363636362,0
"114","2016-10-23","CDE",10,0,0,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,0.74182,-3,0.097,137.1,-0.0194518125552609,0
"115","2016-10-25","CDE",63,0,0,0,0,1,0,0,1,0,1,NA,NA,2.9118,3.0051,NA,NA,2.582,0.72408,-1,0.097,137.1,-0.0194518125552609,1
"116","2016-10-26","CDE",129,0,1,0,1,1,0,1,0,1,2,NA,NA,2.9603,2.9123,NA,NA,2.5023,0.74339,0,0.097,137.1,0.0225428313796212,0
"117","2016-10-27","CDE",90,0,1,0,0,0,0,0,0,0,1,NA,NA,2.9953,2.9468,NA,NA,2.5319,0.73612,1,0.097,137.1,-0.0308641975308641,0
"118","2016-10-30","CDE",21,0,0,0,1,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,0.7585,4,0.097,137.1,0,0
"119","2016-10-31","CDE",16,1,1,0,1,0,0,1,0,1,1,NA,NA,3.0115,2.9627,NA,NA,2.5456,0.76021,5,0.097,137.1,0,1
"120","2016-11-01","CDE",14,0,0,0,0,0,0,0,0,0,0,NA,NA,3.033,2.9839,NA,NA,2.5638,0.74711,6,0.097,137.1,0.0172884440400363,0
"121","2017-02-10","TRGP",20,1,0,0,2,0,0,0,0,1,1,6.1341,21.1028,2.5721,2.4498,NA,32.924,1.3293,0.69039,-5,0.071,-131.9,0.0133264992311635,1
"122","2017-02-14","TRGP",33,0,0,0,0,1,1,1,1,2,2,6.1383,21.0934,2.5703,2.4482,NA,32.9018,1.3284,0.74877,-1,0.071,-131.9,0.00421514078570229,0
"123","2017-02-15","TRGP",109,0,0,0,0,11,0,0,11,0,12,6.1393,21.0911,2.5699,2.4478,NA,32.8963,1.3282,0.73264,0,0.071,-131.9,-0.00436534586971127,0
"124","2017-02-16","TRGP",40,0,0,1,1,1,1,1,3,3,4,6.219,20.9131,2.5369,2.4164,NA,32.4746,1.3112,0.68081,1,0.071,-131.9,-0.000168634064080964,0
"125","2017-02-17","TRGP",32,0,1,1,0,0,0,0,1,1,1,6.2021,20.9506,2.5439,2.423,NA,32.5634,1.3148,0.63835,2,0.071,-131.9,-0.0128183504806881,1
